Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:32 ;	0;	52;	4;	1148;0;	0; 
2020-06-19   13:24:32 ;	0;	12;	0;	30514;0;	0; 
2020-06-19   13:24:32 ;	0;	42;	0;	24946;0;	0; 
2020-06-19   13:24:32 ;	0;	3;	1;	3515;0;	0; 
2020-06-19   13:24:32 ;	0;	33;	1;	3654;0;	0; 
2020-06-19   13:24:32 ;	0;	19;	2;	1166;0;	0; 
2020-06-19   13:24:32 ;	0;	49;	2;	1213;0;	0; 
2020-06-19   13:24:32 ;	0;	23;	3;	805;0;	0; 
2020-06-19   13:24:32 ;	0;	53;	3;	828;0;	0; 
2020-06-19   13:24:32 ;	0;	26;	4;	1223;0;	0; 
2020-06-19   13:24:32 ;	0;	56;	4;	1121;0;	0; 
2020-06-19   13:24:32 ;	0;	11;	0;	26844;0;	0; 
2020-06-19   13:24:32 ;	0;	41;	0;	22378;0;	0; 
2020-06-19   13:24:32 ;	0;	2;	1;	3492;0;	0; 
2020-06-19   13:24:32 ;	0;	32;	1;	3495;0;	0; 
2020-06-19   13:24:32 ;	0;	10;	2;	1176;0;	0; 
2020-06-19   13:24:32 ;	0;	40;	2;	1203;0;	0; 
2020-06-19   13:24:32 ;	0;	24;	3;	779;0;	0; 
2020-06-19   13:24:33 ;	0;	54;	3;	762;0;	0; 
2020-06-19   13:24:33 ;	0;	28;	4;	1200;0;	0; 
2020-06-19   13:24:33 ;	0;	58;	4;	1122;0;	0; 
2020-06-19   13:24:33 ;	0;	16;	0;	28417;0;	0; 
2020-06-19   13:24:33 ;	0;	13;	1;	3396;0;	0; 
2020-06-19   13:24:33 ;	0;	9;	2;	1256;0;	0; 
2020-06-19   13:24:33 ;	0;	46;	0;	25608;0;	0; 
2020-06-19   13:24:33 ;	0;	25;	3;	744;0;	0; 
2020-06-19   13:24:33 ;	0;	43;	1;	3698;0;	0; 
2020-06-19   13:24:33 ;	0;	27;	4;	1149;0;	0; 
2020-06-19   13:24:33 ;	0;	39;	2;	1269;0;	0; 
2020-06-19   13:24:33 ;	0;	55;	3;	785;0;	0; 
2020-06-19   13:24:33 ;	0;	57;	4;	1082;0;	0; 
2020-06-19   13:24:33 ;	0;	17;	0;	23698;0;	0; 
2020-06-19   13:24:33 ;	0;	47;	0;	25286;0;	0; 
2020-06-19   13:24:33 ;	0;	1;	1;	3325;0;	0; 
2020-06-19   13:24:33 ;	0;	31;	1;	3303;0;	0; 
2020-06-19   13:24:33 ;	0;	8;	2;	1190;0;	0; 
2020-06-19   13:24:33 ;	0;	38;	2;	1275;0;	0; 
2020-06-19   13:24:33 ;	0;	14;	3;	787;0;	0; 
2020-06-19   13:24:33 ;	0;	44;	3;	767;0;	0; 
